Agreement ID,Type,Party/Counterparty,Description,Scope,Start Date,End Date,Renewal Terms,Value,Currency,Owner,Status,Review Frequency,Last Review Date,Next Review Date,Linked Tasks,Notes
AGR-001,Internal SLA,Regional Finance APAC,Monthly Financial Close Service Level Agreement,7 working day close cycle with defined deliverables per phase,2025-01-01,2025-12-31,Annual auto-renewal,N/A (internal),N/A,CKVC,Active,Quarterly,2024-12-15,2025-03-15,All phases (1.0-4.0),SLA includes penalties for delays beyond WD7
AGR-002,Internal SLA,Business Units,Accrual Documentation Submission SLA,BUs to submit accrual support by WD2 of each period,2025-01-01,2025-12-31,Annual auto-renewal,N/A (internal),N/A,JPAL,Active,Quarterly,2024-12-15,2025-03-15,CT-0009,Late submissions escalated to CFO
AGR-003,External MSA,PwC Philippines,External Audit Services Master Agreement,Annual financial statement audit and quarterly reviews,2024-07-01,2026-06-30,2-year fixed term,4500000,PHP,CKVC,Active,Annually,2024-06-15,2025-06-15,CT-0019,Audit fee accrual based on quarterly milestones
AGR-004,External SLA,Payroll Provider (Sprout Solutions),Payroll Processing Service Agreement,Monthly payroll processing and statutory compliance filings,2024-01-01,2025-12-31,Annual renewable,780000,PHP,RIM,Active,Quarterly,2024-12-10,2025-03-10,CT-0001,Includes final pay and 13th month processing
AGR-005,Internal Policy,All Finance Team Members,Time Entry Submission Policy,All team members to submit weekly timesheets by Monday 12nn,2025-01-01,2025-12-31,Annual review,N/A (internal),N/A,RIM,Active,Quarterly,2025-01-05,2025-04-05,Time Entries,Non-compliance tracked in KPI-005
AGR-006,External Contract,BIR Philippines,VAT Registration and Filing Agreement,Monthly VAT filing and annual ITR submission,2023-01-15,Perpetual,N/A,N/A (compliance),N/A,JLI,Active,Annually,2024-12-20,2025-12-20,CT-0003 CT-0004,Registration valid until business closure
AGR-007,Internal SLA,IT Department,System Uptime SLA for Finance Applications,99.5% uptime for ERP and finance systems during business hours,2025-01-01,2025-12-31,Annual auto-renewal,N/A (internal),N/A,BOM,Active,Monthly,2025-01-10,2025-02-10,All tasks,Planned maintenance windows on weekends
AGR-008,Intercompany,TBWA Regional Entities,Intercompany Services Agreement,Management fees and cost allocations across APAC entities,2024-01-01,2025-12-31,Annual renewable,25000000,USD,JPAL,Active,Semi-annually,2024-12-15,2025-06-15,CT-0020 CT-0021,Transfer pricing compliant rates
AGR-009,External Contract,Insurance Provider (Manulife),Corporate Insurance Master Policy,Directors & Officers liability and corporate insurance coverage,2024-04-01,2025-03-31,Annual renewable,1200000,PHP,BOM,Active,Annually,2024-03-15,2025-03-15,CT-0017,Premium paid quarterly
AGR-010,External Contract,Lessor (PHINMA Properties),Office Lease Agreement - Head Office,5-year lease agreement for 2500 sqm head office space,2023-01-01,2027-12-31,5-year fixed with escalation,48000000,PHP,LAS,Active,Annually,2024-12-01,2025-12-01,CT-0022 CT-0015,Annual 5% escalation starting Year 3
