Link ID,Task/Phase,Task Name,Type,Category,Name,Description,URL,Owner,Access Level,Last Updated,Status
LNK-001,CT-0001,Process Payroll Final Pay SL Conversions,Policy,HR Policy,Payroll Processing SOP,Standard operating procedure for monthly payroll processing,https://sharepoint.tbwa.com/finance/sops/payroll-processing,RIM,Team,2024-12-15,Active
LNK-002,CT-0001,Process Payroll Final Pay SL Conversions,Template,Workbook,Payroll Journal Entry Template,Excel template for payroll journal entries,https://sharepoint.tbwa.com/finance/templates/payroll-je-template.xlsx,RIM,Team,2024-11-20,Active
LNK-003,CT-0003,Compile Input VAT and VAT Report,Template,Report,VAT Report Template,Monthly VAT report format for BIR filing,https://sharepoint.tbwa.com/finance/templates/vat-report-template.xlsx,JLI,Team,2024-12-01,Active
LNK-004,CT-0003,Compile Input VAT and VAT Report,Policy,Tax Policy,VAT Filing Procedures,Step-by-step guide for VAT computation and filing,https://sharepoint.tbwa.com/finance/policies/vat-filing-procedures,JLI,Team,2024-10-15,Active
LNK-005,CT-0004,Record monthly VAT Report entries,Reference,External,BIR eFPS Portal,BIR Electronic Filing and Payment System,https://efps.bir.gov.ph,JAP,Team,N/A,Active
LNK-006,CT-0009,Accrue Production Retainer Media Commission OOPC,Template,Workbook,Client Accrual Worksheet,Template for calculating client billings accruals,https://sharepoint.tbwa.com/finance/templates/client-accrual-template.xlsx,JPAL,Team,2024-11-30,Active
LNK-007,CT-0013,Compile documents for revenue accruals,Policy,Finance Policy,Revenue Recognition Policy,IFRS 15 revenue recognition guidelines,https://sharepoint.tbwa.com/finance/policies/revenue-recognition-policy,JRMO,Manager,2024-09-01,Active
LNK-008,CT-0015,Record Depreciation Amortization,Reference,System,Fixed Asset Register,ERP fixed asset module access link,https://erp.tbwa.com/modules/fixed-assets,BOM,Team,N/A,Active
LNK-009,CT-0015,Record Depreciation Amortization,Template,Workbook,Depreciation Schedule Template,Monthly depreciation calculation template,https://sharepoint.tbwa.com/finance/templates/depreciation-schedule.xlsx,BOM,Team,2024-12-10,Active
LNK-010,CT-0019,Accrue monthly Audit Fees,Reference,Contract,PwC Engagement Letter 2024-2025,External audit engagement letter and fee schedule,https://sharepoint.tbwa.com/legal/contracts/pwc-engagement-letter-2024.pdf,CKVC,Manager,2024-06-15,Active
LNK-011,CT-0021,Revalue Intercompany Balances,Reference,External,BSP FX Reference Rates,Bangko Sentral ng Pilipinas official exchange rates,https://www.bsp.gov.ph/statistics/spei_new/tab34_fxr.htm,JPAL,Team,N/A,Active
LNK-012,CT-0022,Record lease interest and prepaid fee amortization,Policy,Accounting Policy,IFRS 16 Lease Accounting Policy,Company policy for lease accounting under IFRS 16,https://sharepoint.tbwa.com/finance/policies/ifrs16-lease-policy,LAS,Manager,2024-08-20,Active
LNK-013,CT-0024,Prepare WIP schedule summary per Job#,Template,Report,WIP Reconciliation Template,Monthly WIP schedule and reconciliation format,https://sharepoint.tbwa.com/finance/templates/wip-reconciliation-template.xlsx,JRMO,Team,2024-12-05,Active
LNK-014,CT-0024,Prepare WIP schedule summary per Job#,Reference,System,Project Accounting Module,ERP project accounting and job costing module,https://erp.tbwa.com/modules/project-accounting,JRMO,Team,N/A,Active
LNK-015,CT-0027,Process GL and Marketing Expense reclassifications,Policy,Expense Policy,Expense Classification Guidelines,Guidelines for proper expense account classification,https://sharepoint.tbwa.com/finance/policies/expense-classification,LAS,Team,2024-11-10,Active
LNK-016,CT-0032,Prepare AP Aging for Working Capital,Template,Report,Working Capital AP Aging Report,Format for AP aging report submitted to treasury,https://sharepoint.tbwa.com/finance/templates/wc-ap-aging-template.xlsx,LAS,Team,2024-12-01,Active
LNK-017,CT-0035,Prepare Flash Wins & Losses and Revenue reports,Template,Report,Regional Flash Report Template,Monthly flash report format for regional consolidation,https://sharepoint.tbwa.com/finance/templates/regional-flash-template.xlsx,BOM,Manager,2024-12-15,Active
LNK-018,CT-0036,Final TB Review and Sign-off,Template,Report,Trial Balance Format,Standard TB format for CFO review,https://sharepoint.tbwa.com/finance/templates/tb-format.xlsx,RIM,Team,2024-11-25,Active
LNK-019,1.0,I. Initial & Compliance,Reference,System,HRIS Portal,HR Information System for payroll data,https://hris.tbwa.com,RIM,Team,N/A,Active
LNK-020,2.0,II. Accruals & Amortization,Policy,Finance Policy,Month-End Close Checklist,Comprehensive checklist for all accrual activities,https://sharepoint.tbwa.com/finance/checklists/month-end-close-checklist,BOM,Team,2024-12-20,Active
LNK-021,4.0,IV. Final Adjustments,Policy,Finance Policy,Adjusting Entry Approval Matrix,Approval limits for adjusting journal entries,https://sharepoint.tbwa.com/finance/policies/je-approval-matrix,CKVC,Manager,2024-10-01,Active
LNK-022,4.0,IV. Final Adjustments,Template,Report,Management Reports Pack,Complete set of management reports for CFO review,https://sharepoint.tbwa.com/finance/templates/mgmt-reports-pack,BOM,Manager,2024-12-18,Active
LNK-023,General,All Tasks,Training,eLearning,IFRS & Philippine GAAP Training,Online training modules for accounting standards,https://learning.tbwa.com/courses/ifrs-training,CKVC,All,2024-09-15,Active
LNK-024,General,All Tasks,Reference,System,Finance SharePoint Site,Central repository for all finance documents,https://sharepoint.tbwa.com/finance,CKVC,All,N/A,Active
LNK-025,General,All Tasks,Tool,Software,ERP User Guide,Complete user guide for finance ERP modules,https://sharepoint.tbwa.com/it/documentation/erp-user-guide,CKVC,All,2024-11-01,Active
